country,Populacao_2022
Afghanistan,41128771.0
Africa Eastern and Southern,720859132.0
Africa Western and Central,490330870.0
Albania,2777689.0
Algeria,44903225.0
American Samoa,44273.0
Andorra,79824.0
Angola,35588987.0
Antigua and Barbuda,93763.0
Arab World,464684914.0
Argentina,46234830.0
Armenia,2780469.0
Aruba,106445.0
Australia,26014399.0
Austria,9041851.0
Azerbaijan,10141756.0
"Bahamas, The",409984.0
Bahrain,1472233.0
Bangladesh,171186372.0
Barbados,281635.0
Belarus,9228071.0
Belgium,11685814.0
Belize,405272.0
Benin,13352864.0
Bermuda,63595.0
Bhutan,782455.0
Bolivia,12224110.0
Bosnia and Herzegovina,3233526.0
Botswana,2630296.0
Brazil,215313498.0
British Virgin Islands,31305.0
Brunei Darussalam,449002.0
Bulgaria,6465097.0
Burkina Faso,22673762.0
Burundi,12889576.0
Cabo Verde,593149.0
Cambodia,16767842.0
Cameroon,27914536.0
Canada,38939056.0
Caribbean small states,3147057.0
Cayman Islands,68706.0
Central African Republic,5579144.0
Central Europe and the Baltics,100108262.0
Chad,17723315.0
Channel Islands,174079.0
Chile,19603733.0
China,1412175000.0
Colombia,51874024.0
Comoros,836774.0
"Congo, Dem. Rep.",99010212.0
"Congo, Rep.",5970424.0
Costa Rica,5180829.0
Cote d'Ivoire,28160542.0
Croatia,3855641.0
Cuba,11212191.0
Curacao,149996.0
Cyprus,1251488.0
Czechia,10672118.0
Denmark,5903037.0
Djibouti,1120849.0
Dominica,72737.0
Dominican Republic,11228821.0
Early-demographic dividend,3447398652.0
East Asia & Pacific,2375208613.0
East Asia & Pacific (IDA & IBRD countries),2103055378.0
East Asia & Pacific (excluding high income),2129094071.0
Ecuador,18001000.0
"Egypt, Arab Rep.",110990103.0
El Salvador,6336392.0
Equatorial Guinea,1674908.0
Eritrea,3684032.0
Estonia,1348840.0
Eswatini,1201670.0
Ethiopia,123379924.0
Euro area,348331552.0
Europe & Central Asia,920988359.0
Europe & Central Asia (IDA & IBRD countries),457342249.0
Europe & Central Asia (excluding high income),246915820.0
European Union,447370551.0
Faroe Islands,53090.0
Fiji,929766.0
Finland,5556106.0
Fragile and conflict affected situations,1019145355.0
France,67971311.0
French Polynesia,306279.0
Gabon,2388992.0
"Gambia, The",2705992.0
Georgia,3712502.0
Germany,83797985.0
Ghana,33475870.0
Gibraltar,32649.0
Greece,10426919.0
Greenland,56661.0
Grenada,125438.0
Guam,171774.0
Guatemala,17357886.0
Guinea,13859341.0
Guinea-Bissau,2105566.0
Guyana,808726.0
Haiti,11584996.0
Heavily indebted poor countries (HIPC),884288332.0
High income,1395940386.0
Honduras,10432860.0
"Hong Kong SAR, China",7346100.0
Hungary,9643048.0
IBRD only,4912348798.0
IDA & IBRD total,6754104791.0
IDA blend,609342910.0
IDA only,1232413083.0
IDA total,1841755993.0
Iceland,382003.0
India,1417173173.0
Indonesia,275501339.0
"Iran, Islamic Rep.",88550570.0
Iraq,44496122.0
Ireland,5127170.0
Isle of Man,84519.0
Israel,9557500.0
Italy,58940425.0
Jamaica,2827377.0
Japan,125124989.0
Jordan,11285869.0
Kazakhstan,19634983.0
Kenya,54027487.0
Kiribati,131232.0
"Korea, Dem. People's Rep.",26069416.0
"Korea, Rep.",51672569.0
Kosovo,1768086.0
Kuwait,4268873.0
Kyrgyz Republic,6974900.0
Lao PDR,7529475.0
Late-demographic dividend,2325328254.0
Latin America & Caribbean,659306928.0
Latin America & Caribbean (excluding high income),596596955.0
Latin America & the Caribbean (IDA & IBRD countries),643884393.0
Latvia,1879383.0
Least developed countries: UN classification,1124396999.0
Lebanon,5489739.0
Lesotho,2305825.0
Liberia,5302681.0
Libya,6812341.0
Liechtenstein,39327.0
Lithuania,2831639.0
Low & middle income,6527353351.0
Low income,703727949.0
Lower middle income,3020375650.0
Luxembourg,653103.0
"Macao SAR, China",695168.0
Madagascar,29611714.0
Malawi,20405317.0
Malaysia,33938221.0
Maldives,523787.0
Mali,22593590.0
Malta,531113.0
Marshall Islands,41569.0
Mauritania,4736139.0
Mauritius,1262523.0
Mexico,127504125.0
"Micronesia, Fed. Sts.",114164.0
Middle East & North Africa,493279469.0
Middle East & North Africa (IDA & IBRD countries),419284769.0
Middle East & North Africa (excluding high income),424328381.0
Middle income,5823625402.0
Moldova,2538894.0
Monaco,36469.0
Mongolia,3398366.0
Montenegro,617213.0
Morocco,37457971.0
Mozambique,32969518.0
Myanmar,54179306.0
Namibia,2567012.0
Nauru,12668.0
Nepal,30547580.0
Netherlands,17700982.0
New Caledonia,269215.0
New Zealand,5117200.0
Nicaragua,6948392.0
Niger,26207977.0
Nigeria,218541212.0
North America,372274062.0
North Macedonia,1831712.0
Northern Mariana Islands,49551.0
Norway,5457127.0
